PositionThreshold_mm,MatchThreshold,SatisfactionRate
0.01,0.05,4.2
0.01,0.0552631578947368,4.7
0.01,0.0605263157894737,5.2
0.01,0.0657894736842105,5.5
0.01,0.0710526315789474,5.8
0.01,0.0763157894736842,6.3
0.01,0.0815789473684211,7.1
0.01,0.0868421052631579,7.5
0.01,0.0921052631578947,8
0.01,0.0973684210526316,8.4
0.01,0.102631578947368,9.2
0.01,0.107894736842105,9.6
0.01,0.113157894736842,10.4
0.01,0.118421052631579,10.8
0.01,0.123684210526316,11
0.01,0.128947368421053,11.4
0.01,0.134210526315789,11.6
0.01,0.139473684210526,11.9
0.01,0.144736842105263,12.1
0.01,0.15,12.4
0.0110526315789474,0.05,5.6
0.0110526315789474,0.0552631578947368,6.5
0.0110526315789474,0.0605263157894737,7
0.0110526315789474,0.0657894736842105,7.4
0.0110526315789474,0.0710526315789474,8.1
0.0110526315789474,0.0763157894736842,8.9
0.0110526315789474,0.0815789473684211,9.7
0.0110526315789474,0.0868421052631579,10.2
0.0110526315789474,0.0921052631578947,11
0.0110526315789474,0.0973684210526316,11.4
0.0110526315789474,0.102631578947368,12.4
0.0110526315789474,0.107894736842105,13
0.0110526315789474,0.113157894736842,13.9
0.0110526315789474,0.118421052631579,14.8
0.0110526315789474,0.123684210526316,15.1
0.0110526315789474,0.128947368421053,15.8
0.0110526315789474,0.134210526315789,16.1
0.0110526315789474,0.139473684210526,16.4
0.0110526315789474,0.144736842105263,16.6
0.0110526315789474,0.15,17
0.0121052631578947,0.05,7.2
0.0121052631578947,0.0552631578947368,8.5
0.0121052631578947,0.0605263157894737,9.3
0.0121052631578947,0.0657894736842105,9.8
0.0121052631578947,0.0710526315789474,10.7
0.0121052631578947,0.0763157894736842,11.6
0.0121052631578947,0.0815789473684211,12.8
0.0121052631578947,0.0868421052631579,13.3
0.0121052631578947,0.0921052631578947,14.6
0.0121052631578947,0.0973684210526316,15.1
0.0121052631578947,0.102631578947368,16.3
0.0121052631578947,0.107894736842105,17.1
0.0121052631578947,0.113157894736842,18.3
0.0121052631578947,0.118421052631579,19.2
0.0121052631578947,0.123684210526316,19.7
0.0121052631578947,0.128947368421053,20.4
0.0121052631578947,0.134210526315789,20.8
